p,q,epsilon,eta,l_vc,train_risk,test_risk,runtime_ms
0.900000,0.100000,0.050000,0.010000,57889,0.098706,0.099000,7324.004680
0.900000,0.100000,0.050000,0.050000,57187,0.099970,0.092000,7279.987537
0.900000,0.100000,0.100000,0.010000,12647,0.093698,0.099000,1576.519870
0.900000,0.100000,0.100000,0.050000,12469,0.104339,0.113000,1888.957836
0.900000,0.300000,0.050000,0.010000,57889,0.199122,0.223000,7406.820606
0.900000,0.300000,0.050000,0.050000,57187,0.199294,0.195000,7005.104589
0.900000,0.300000,0.100000,0.010000,12647,0.197833,0.205000,1617.820831
0.900000,0.300000,0.100000,0.050000,12469,0.195926,0.186000,1526.071546
0.700000,0.100000,0.050000,0.010000,57889,0.199934,0.209000,7115.856601
0.700000,0.100000,0.050000,0.050000,57187,0.200605,0.188000,6975.984911
0.700000,0.100000,0.100000,0.010000,12647,0.201313,0.190000,1447.581889
0.700000,0.100000,0.100000,0.050000,12469,0.195284,0.182000,1548.773004
0.700000,0.300000,0.050000,0.010000,57889,0.297932,0.286000,7213.999439
0.700000,0.300000,0.050000,0.050000,57187,0.302761,0.289000,7034.439599
0.700000,0.300000,0.100000,0.010000,12647,0.294062,0.279000,1689.775404
0.700000,0.300000,0.100000,0.050000,12469,0.305077,0.303000,1524.538301
