p,q,epsilon,eta,l_vc,train_risk,test_risk,runtime_ms
0.900000,0.100000,0.050000,0.010000,57889,0.102489,0.091000,5723.965486
0.900000,0.100000,0.050000,0.050000,57187,0.099795,0.090000,5718.011429
0.900000,0.100000,0.100000,0.010000,12647,0.097177,0.117000,1245.258603
0.900000,0.100000,0.100000,0.050000,12469,0.099607,0.093000,1257.039726
0.900000,0.300000,0.050000,0.010000,57889,0.201005,0.171000,5868.625024
0.900000,0.300000,0.050000,0.050000,57187,0.199818,0.184000,5650.427740
0.900000,0.300000,0.100000,0.010000,12647,0.197992,0.197000,1242.049612
0.900000,0.300000,0.100000,0.050000,12469,0.194563,0.205000,1222.233204
0.700000,0.100000,0.050000,0.010000,57889,0.202439,0.206000,5741.130720
0.700000,0.100000,0.050000,0.050000,57187,0.198682,0.188000,5771.024142
0.700000,0.100000,0.100000,0.010000,12647,0.199810,0.208000,1236.514994
0.700000,0.100000,0.100000,0.050000,12469,0.204587,0.206000,1225.855528
0.700000,0.300000,0.050000,0.010000,57889,0.298589,0.306000,5877.768572
0.700000,0.300000,0.050000,0.050000,57187,0.301047,0.314000,5729.493166
0.700000,0.300000,0.100000,0.010000,12647,0.298411,0.309000,1262.691964
0.700000,0.300000,0.100000,0.050000,12469,0.308445,0.299000,1249.262321
